cik,date,link
1133311,2014-03-24,https://www.sec.gov/Archives/edgar/data/1133311/000113331114000018/a2014proxy.htm
1133311,2013-07-25,https://www.sec.gov/Archives/edgar/data/1133311/000134100413000798/def14a.htm
1244937,2016-04-25,https://www.sec.gov/Archives/edgar/data/1244937/000119312516553130/d137057ddef14a.htm
1244937,2015-04-24,https://www.sec.gov/Archives/edgar/data/1244937/000119312515145317/d903718ddef14a.htm
1244937,2014-04-28,https://www.sec.gov/Archives/edgar/data/1244937/000119312514161252/d687740ddef14a.htm
1244937,2013-04-26,https://www.sec.gov/Archives/edgar/data/1244937/000119312513176075/d475091ddef14a.htm
885462,2016-04-29,https://www.sec.gov/Archives/edgar/data/885462/000119380516003165/e614982_def14a-gulf.htm
885462,2015-08-24,https://www.sec.gov/Archives/edgar/data/885462/000119380515001410/e614018_def14a-gulf.htm
885462,2015-08-11,https://www.sec.gov/Archives/edgar/data/885462/000119380515001350/e613992_def14a-gulf.htm
885462,2014-04-29,https://www.sec.gov/Archives/edgar/data/885462/000119380514000877/e612215_def14a-gulf.htm
885462,2013-04-29,https://www.sec.gov/Archives/edgar/data/885462/000119380513000845/e610851_def14a-gulf.htm
922475,2016-04-07,https://www.sec.gov/Archives/edgar/data/922475/000092247516000055/proxy_statement.htm
922475,2015-06-12,https://www.sec.gov/Archives/edgar/data/922475/000119312515221170/d938313ddef14a.htm
922475,2014-11-24,https://www.sec.gov/Archives/edgar/data/922475/000092247514000042/proxy_statement.htm
922475,2013-03-13,https://www.sec.gov/Archives/edgar/data/922475/000092247513000010/proxystmt.htm
1108109,2016-04-07,https://www.sec.gov/Archives/edgar/data/1108109/000119312516533891/d139261ddef14a.htm
1108109,2015-04-03,https://www.sec.gov/Archives/edgar/data/1108109/000119312515118590/d897271ddef14a.htm
1108109,2014-04-04,https://www.sec.gov/Archives/edgar/data/1108109/000119312514131779/d671540ddef14a.htm
1108109,2013-04-05,https://www.sec.gov/Archives/edgar/data/1108109/000119312513143958/d474944ddef14a.htm
1034842,2016-03-28,https://www.sec.gov/Archives/edgar/data/1034842/000155837016004415/rigl-20160510xdef14a.htm
1034842,2015-03-30,https://www.sec.gov/Archives/edgar/data/1034842/000104746915002948/a2223909zdef14a.htm
1034842,2014-04-08,https://www.sec.gov/Archives/edgar/data/1034842/000104746914003564/a2219397zdef14a.htm
1034842,2013-04-03,https://www.sec.gov/Archives/edgar/data/1034842/000104746913003897/a2213984zdef14a.htm
1203900,2014-11-10,https://www.sec.gov/Archives/edgar/data/1203900/000114420414066611/v393806_def14a.htm
1203900,2013-11-05,https://www.sec.gov/Archives/edgar/data/1203900/000114420413058846/v359233_def14a.htm
1203900,2013-01-15,https://www.sec.gov/Archives/edgar/data/1203900/000114420413002500/v332030_def14a.htm
